t,pn,pe,pd,vn,ve,vd
0.0,0.5,0.0,-1516.0,50.0,0.0,0.0
0.01,1.0,0.0,-1516.0,50.0,0.0,0.0
0.02,1.5,0.0,-1516.0,50.0,0.0,0.0
0.03,2.0,0.0,-1516.0,50.0,0.0,0.0
0.04,2.5,0.0,-1516.0,50.0,0.0,0.0
0.05,3.0,0.0,-1516.0,50.0,0.0,0.0
0.06,3.5,0.0,-1516.0,50.0,0.0,0.0
0.07,4.0,0.0,-1516.0,50.0,0.0,0.0
0.08,4.5,0.0,-1516.0,50.0,0.0,0.0
0.09,5.0,0.0,-1516.0,50.0,0.0,0.0
0.1,5.5,0.0,-1516.0,50.0,0.0,0.0
0.11,6.0,0.0,-1516.0,50.0,0.0,0.0
0.12,6.5,0.0,-1516.0,50.0,0.0,0.0
0.13,7.0,0.0,-1516.0,50.0,0.0,0.0
0.14,7.500000000000001,0.0,-1516.0,50.0,0.0,0.0
0.15,8.0,0.0,-1516.0,50.0,0.0,0.0
0.16,8.5,0.0,-1516.0,50.0,0.0,0.0
0.17,9.0,0.0,-1516.0,50.0,0.0,0.0
0.18,9.5,0.0,-1516.0,50.0,0.0,0.0
0.19,10.0,0.0,-1516.0,50.0,0.0,0.0
0.2,10.5,0.0,-1516.0,50.0,0.0,0.0
0.21,11.0,0.0,-1516.0,50.0,0.0,0.0
0.22,11.5,0.0,-1516.0,50.0,0.0,0.0
0.23,12.0,0.0,-1516.0,50.0,0.0,0.0
0.24,12.5,0.0,-1516.0,50.0,0.0,0.0
0.25,13.0,0.0,-1516.0,50.0,0.0,0.0
0.26,13.5,0.0,-1516.0,50.0,0.0,0.0
0.27,14.0,0.0,-1516.0,50.0,0.0,0.0
0.28,14.500000000000002,0.0,-1516.0,50.0,0.0,0.0
0.29,14.999999999999998,0.0,-1516.0,50.0,0.0,0.0
0.3,15.5,0.0,-1516.0,50.0,0.0,0.0
0.31,16.0,0.0,-1516.0,50.0,0.0,0.0
0.32,16.5,0.0,-1516.0,50.0,0.0,0.0
0.33,17.0,0.0,-1516.0,50.0,0.0,0.0
0.34,17.5,0.0,-1516.0,50.0,0.0,0.0
0.35000000000000003,18.0,0.0,-1516.0,50.0,0.0,0.0
0.36,18.5,0.0,-1516.0,50.0,0.0,0.0
0.37,19.0,0.0,-1516.0,50.0,0.0,0.0
0.38,19.5,0.0,-1516.0,50.0,0.0,0.0
0.39,20.0,0.0,-1516.0,50.0,0.0,0.0
0.4,20.5,0.0,-1516.0,50.0,0.0,0.0
0.41000000000000003,21.0,0.0,-1516.0,50.0,0.0,0.0
0.42,21.5,0.0,-1516.0,50.0,0.0,0.0
0.43,22.0,0.0,-1516.0,50.0,0.0,0.0
0.44,22.5,0.0,-1516.0,50.0,0.0,0.0
0.45,23.0,0.0,-1516.0,50.0,0.0,0.0
0.46,23.5,0.0,-1516.0,50.0,0.0,0.0
0.47000000000000003,24.0,0.0,-1516.0,50.0,0.0,0.0
0.48,24.5,0.0,-1516.0,50.0,0.0,0.0
0.49,25.0,0.0,-1516.0,50.0,0.0,0.0
0.5,25.5,0.0,-1516.0,50.0,0.0,0.0
0.51,26.0,0.0,-1516.0,50.0,0.0,0.0
0.52,26.5,0.0,-1516.0,50.0,0.0,0.0
0.53,27.0,0.0,-1516.0,50.0,0.0,0.0
0.54,27.5,0.0,-1516.0,50.0,0.0,0.0
0.55,28.000000000000004,0.0,-1516.0,50.0,0.0,0.0
0.56,28.500000000000004,0.0,-1516.0,50.0,0.0,0.0
0.5700000000000001,29.000000000000004,0.0,-1516.0,50.0,0.0,0.0
0.58,29.499999999999996,0.0,-1516.0,50.0,0.0,0.0
0.59,30.0,0.0,-1516.0,50.0,0.0,0.0
0.6,30.5,0.0,-1516.0,50.0,0.0,0.0
0.61,31.0,0.0,-1516.0,50.0,0.0,0.0
0.62,31.5,0.0,-1516.0,50.0,0.0,0.0
0.63,32.0,0.0,-1516.0,50.0,0.0,0.0
0.64,32.5,0.0,-1516.0,50.0,0.0,0.0
0.65,33.0,0.0,-1516.0,50.0,0.0,0.0
0.66,33.5,0.0,-1516.0,50.0,0.0,0.0
0.67,34.0,0.0,-1516.0,50.0,0.0,0.0
0.68,34.5,0.0,-1516.0,50.0,0.0,0.0
0.6900000000000001,35.0,0.0,-1516.0,50.0,0.0,0.0
0.7000000000000001,35.5,0.0,-1516.0,50.0,0.0,0.0
0.71,36.0,0.0,-1516.0,50.0,0.0,0.0
0.72,36.5,0.0,-1516.0,50.0,0.0,0.0
0.73,37.0,0.0,-1516.0,50.0,0.0,0.0
0.74,37.5,0.0,-1516.0,50.0,0.0,0.0
0.75,38.0,0.0,-1516.0,50.0,0.0,0.0
0.76,38.5,0.0,-1516.0,50.0,0.0,0.0
0.77,39.0,0.0,-1516.0,50.0,0.0,0.0
0.78,39.5,0.0,-1516.0,50.0,0.0,0.0
0.79,40.0,0.0,-1516.0,50.0,0.0,0.0
0.8,40.5,0.0,-1516.0,50.0,0.0,0.0
0.81,41.0,0.0,-1516.0,50.0,0.0,0.0
0.8200000000000001,41.5,0.0,-1516.0,50.0,0.0,0.0
0.8300000000000001,42.0,0.0,-1516.0,50.0,0.0,0.0
0.84,42.5,0.0,-1516.0,50.0,0.0,0.0
0.85,43.0,0.0,-1516.0,50.0,0.0,0.0
0.86,43.5,0.0,-1516.0,50.0,0.0,0.0
0.87,44.0,0.0,-1516.0,50.0,0.0,0.0
0.88,44.5,0.0,-1516.0,50.0,0.0,0.0
0.89,45.0,0.0,-1516.0,50.0,0.0,0.0
0.9,45.5,0.0,-1516.0,50.0,0.0,0.0
0.91,46.0,0.0,-1516.0,50.0,0.0,0.0
0.92,46.5,0.0,-1516.0,50.0,0.0,0.0
0.93,47.0,0.0,-1516.0,50.0,0.0,0.0
0.9400000000000001,47.5,0.0,-1516.0,50.0,0.0,0.0
0.9500000000000001,48.0,0.0,-1516.0,50.0,0.0,0.0
0.96,48.5,0.0,-1516.0,50.0,0.0,0.0
0.97,49.0,0.0,-1516.0,50.0,0.0,0.0
0.98,49.5,0.0,-1516.0,50.0,0.0,0.0
0.99,50.0,0.0,-1516.0,50.0,0.0,0.0
1.0,50.5,0.0,-1516.0,50.0,0.0,0.0
1.01,51.0,0.0,-1516.0,50.0,0.0,0.0
1.02,51.5,0.0,-1516.0,50.0,0.0,0.0
1.03,52.0,0.0,-1516.0,50.0,0.0,0.0
1.04,52.5,0.0,-1516.0,50.0,0.0,0.0
1.05,53.0,0.0,-1516.0,50.0,0.0,0.0
