Time,PosError,VelError,AttError,UpdateType
0,1.2921e+15,1.43563e+10,2.05433,map_match
0.1,1.2921e+15,1.43567e+10,2.05435,nominal
0.2,1.2921e+15,1.4357e+10,2.0544,nominal
0.3,1.2921e+15,1.43574e+10,2.05447,nominal
0.4,1.2921e+15,1.43578e+10,2.05458,nominal
0.5,1.2921e+15,1.43581e+10,2.05472,nominal
0.6,1.29211e+15,1.43585e+10,2.05489,nominal
0.7,1.29211e+15,1.43589e+10,2.05509,nominal
0.8,1.29211e+15,1.43593e+10,2.05532,nominal
0.9,1.29211e+15,1.43596e+10,2.05559,nominal
1,1.29211e+15,1.436e+10,2.05588,nominal
1.1,1.29211e+15,1.43604e+10,2.0562,nominal
1.2,1.29211e+15,1.43607e+10,2.05655,nominal
1.3,1.29212e+15,1.43611e+10,2.05693,nominal
1.4,1.29212e+15,1.43615e+10,2.05734,nominal
1.5,1.29212e+15,1.43618e+10,2.05778,nominal
1.6,1.29212e+15,1.43622e+10,2.05825,nominal
1.7,1.29212e+15,1.43626e+10,2.05875,nominal
1.8,1.29212e+15,1.4363e+10,2.05928,nominal
1.9,1.29212e+15,1.43633e+10,2.05983,nominal
2,1.29213e+15,1.43637e+10,2.06041,nominal
2.1,1.29213e+15,1.43641e+10,2.06102,nominal
2.2,1.29213e+15,1.43644e+10,2.06165,nominal
2.3,1.29213e+15,1.43648e+10,2.06231,nominal
2.4,1.29213e+15,1.43652e+10,2.06299,nominal
2.5,1.29213e+15,1.43656e+10,2.06369,nominal
2.6,1.29213e+15,1.43659e+10,2.06442,nominal
2.7,1.29214e+15,1.43663e+10,2.06517,nominal
2.8,1.29214e+15,1.43667e+10,2.06594,nominal
2.9,1.29214e+15,1.4367e+10,2.06673,nominal
3,1.29214e+15,1.43674e+10,2.06754,nominal
3.1,1.29214e+15,1.43678e+10,2.06837,nominal
3.2,1.29214e+15,1.43681e+10,2.06922,nominal
3.3,1.29214e+15,1.43685e+10,2.07008,nominal
3.4,1.29215e+15,1.43689e+10,2.07096,nominal
3.5,1.29215e+15,1.43693e+10,2.07185,nominal
3.6,1.29215e+15,1.43696e+10,2.07275,nominal
3.7,1.29215e+15,1.437e+10,2.07367,nominal
3.8,1.29215e+15,1.43704e+10,2.07459,nominal
3.9,1.29215e+15,1.43707e+10,2.07553,nominal
4,1.29215e+15,1.43711e+10,2.07647,nominal
4.1,1.29216e+15,1.43715e+10,2.07742,nominal
4.2,1.29216e+15,1.43718e+10,2.07838,nominal
4.3,1.29216e+15,1.43722e+10,2.07934,nominal
4.4,1.29216e+15,1.43726e+10,2.0803,nominal
4.5,1.29216e+15,1.4373e+10,2.08127,nominal
4.6,1.29216e+15,1.43733e+10,2.08223,nominal
4.7,1.29216e+15,1.43737e+10,2.0832,nominal
4.8,1.29217e+15,1.43741e+10,2.08416,nominal
4.9,1.29217e+15,1.43744e+10,2.08513,nominal
5,1.29217e+15,1.43748e+10,2.08609,nominal
5.1,1.29217e+15,1.43752e+10,2.08704,nominal
5.2,1.29217e+15,1.43756e+10,2.08799,nominal
5.3,1.29217e+15,1.43759e+10,2.08893,nominal
5.4,1.29218e+15,1.43763e+10,2.08987,nominal
5.5,1.29218e+15,1.43767e+10,2.09079,nominal
5.6,1.29218e+15,1.4377e+10,2.09171,nominal
5.7,1.29218e+15,1.43774e+10,2.09262,nominal
5.8,1.29218e+15,1.43778e+10,2.09351,nominal
5.9,1.29218e+15,1.43781e+10,2.0944,nominal
6,1.29218e+15,1.43785e+10,2.09527,nominal
6.1,1.29219e+15,1.43789e+10,2.09613,nominal
6.2,1.29219e+15,1.43793e+10,2.09697,nominal
6.3,1.29219e+15,1.43796e+10,2.0978,nominal
6.4,1.29219e+15,1.438e+10,2.09862,nominal
6.5,1.29219e+15,1.43804e+10,2.09942,nominal
6.6,1.29219e+15,1.43807e+10,2.1002,nominal
6.7,1.29219e+15,1.43811e+10,2.10097,nominal
6.8,1.2922e+15,1.43815e+10,2.10172,nominal
6.9,1.2922e+15,1.43818e+10,2.10246,nominal
7,1.2922e+15,1.43822e+10,2.10317,nominal
7.1,1.2922e+15,1.43826e+10,2.10387,nominal
7.2,1.2922e+15,1.4383e+10,2.10455,nominal
7.3,1.2922e+15,1.43833e+10,2.10521,nominal
7.4,1.2922e+15,1.43837e+10,2.10586,nominal
7.5,1.29221e+15,1.43841e+10,2.10648,nominal
7.6,1.29221e+15,1.43844e+10,2.10708,nominal
7.7,1.29221e+15,1.43848e+10,2.10767,nominal
7.8,1.29221e+15,1.43852e+10,2.10824,nominal
7.9,1.29221e+15,1.43856e+10,2.10879,nominal
8,1.29221e+15,1.43859e+10,2.10932,nominal
8.1,1.29221e+15,1.43863e+10,2.10983,nominal
8.2,1.29222e+15,1.43867e+10,2.11032,nominal
8.3,1.29222e+15,1.4387e+10,2.11079,nominal
8.4,1.29222e+15,1.43874e+10,2.11125,nominal
8.5,1.29222e+15,1.43878e+10,2.11168,nominal
8.6,1.29222e+15,1.43882e+10,2.1121,nominal
8.7,1.29222e+15,1.43885e+10,2.1125,nominal
8.8,1.29222e+15,1.43889e+10,2.11288,nominal
8.9,1.29223e+15,1.43893e+10,2.11325,nominal
9,1.29223e+15,1.43896e+10,2.1136,nominal
9.1,1.29223e+15,1.439e+10,2.11393,nominal
9.2,1.29223e+15,1.43904e+10,2.11425,nominal
9.3,1.29223e+15,1
