timestamp,lat,lon,alt,Txx,Txy,Txz,Tyx,Tyy,Tyz,Tzx,Tzy,Tzz,J2,J3,laplacian,horizontal_curvature,vertical_gradient
0,46.8082,8,743.519,-6.17545,-0.892214,-6.7695,-0.889256,0.0149749,-0.910003,-6.73443,-0.879679,-7.26388,-5.05225,-0.0675264,-13.4244,6.17547,-7.26388
0.2,46.8081,8,745.095,-6.12304,-0.82111,-6.57143,-0.812427,-0.12857,-0.832939,-6.59969,-0.845376,-7.14953,1.4853,0.0014705,-13.4011,6.12439,-7.14953
0.4,46.8081,7.99999,746.136,-6.25766,-0.835503,-6.65731,-0.804993,-0.187529,-1.06479,-6.69477,-1.03779,-7.00129,-0.0972585,0.248307,-13.4465,6.26047,-7.00129
0.6,46.8081,7.99999,748.236,-6.12292,-0.84904,-6.73181,-0.850637,-0.0870084,-0.915821,-6.70129,-0.893024,-7.14446,-3.50509,-0.0379949,-13.3544,6.12354,-7.14446
0.8,46.8081,7.99999,749.811,-6.11941,-0.869239,-6.53275,-0.885674,0.000797301,-0.969957,-6.52585,-0.93772,-7.16957,-0.896435,0.158824,-13.2882,6.11941,-7.16957
1,46.8081,7.99998,751.349,-6.30607,-0.872808,-6.45835,-0.85612,-0.120166,-0.934098,-6.51881,-0.924382,-7.27394,7.58079,0.00169386,-13.7002,6.30722,-7.27394
1.2,46.8081,7.99998,753.287,-6.08362,-0.927337,-6.72895,-0.981902,-0.176561,-1.08376,-6.72568,-1.02721,-7.22955,-1.89617,0.034251,-13.4897,6.08618,-7.22955
1.4,46.8081,7.99998,755.622,-6.09604,-0.839518,-6.59871,-0.841376,-0.0782018,-1.03433,-6.64225,-0.994847,-7.18129,-1.49974,0.0583587,-13.3555,6.09654,-7.18129
1.6,46.8081,7.99998,757.861,-6.11327,-0.812008,-6.70522,-0.820675,-0.144275,-0.876411,-6.69539,-0.889334,-6.93228,-4.15784,0.0887052,-13.1898,6.11497,-6.93228
1.8,46.8081,7.99997,760.053,-6.21301,-0.990985,-6.53999,-0.976804,-0.216003,-0.897781,-6.54277,-0.885749,-7.03206,3.99686,0.0736803,-13.4611,6.21677,-7.03206
2,46.8081,7.99997,762.398,-6.15401,-0.88495,-6.55351,-0.928592,0.0327008,-0.875285,-6.58586,-0.900203,-7.22868,-1.44491,0.252984,-13.35,6.1541,-7.22868
2.2,46.8082,7.99997,764.19,-6.28146,-0.756399,-6.61331,-0.815586,-0.362818,-0.895542,-6.61808,-0.906439,-6.97393,6.83954,0.0150057,-13.6182,6.29193,-6.97393
2.4,46.8082,7.99997,765.968,-6.17238,-0.811349,-6.60787,-0.84039,0.0811975,-0.928339,-6.6556,-0.923342,-7.14124,-5.04203,0.0275561,-13.2324,6.17291,-7.14124
2.6,46.8082,7.99996,767.577,-6.02751,-0.932591,-6.649,-0.909484,-0.25327,-0.890049,-6.66113,-0.866871,-7.02251,-0.552353,0.33253,-13.3033,6.03283,-7.02251
2.8,46.8082,7.99996,769.472,-6.14757,-0.904968,-6.64179,-0.862735,-0.195867,-0.932632,-6.62454,-0.89196,-7.06488,0.816475,0.0387734,-13.4083,6.15069,-7.06488
3,46.8082,7.99996,771.081,-6.20172,-0.814038,-6.74698,-0.832416,-0.0981904,-0.917766,-6.70089,-0.939265,-7.18193,-1.79193,-0.00292007,-13.4818,6.20249,-7.18193
3.2,46.8082,7.99996,772.846,-6.23932,-0.8575,-6.83514,-0.832451,-0.191813,-0.75855,-6.83165,-0.781014,-7.18044,-1.25279,0.297737,-13.6116,6.24227,-7.18044
3.4,46.8083,7.99996,774.728,-6.16025,-0.866871,-6.69157,-0.892189,-0.305735,-0.961112,-6.72236,-0.951086,-7.20356,3.58173,0.109192,-13.6695,6.16783,-7.20356
3.6,46.8083,7.99996,776.269,-6.18952,-0.83167,-6.65879,-0.850176,-0.148221,-1.00592,-6.68762,-0.983285,-7.18025,0.392701,0.0508815,-13.518,6.19129,-7.18025
3.8,46.8083,7.99995,777.914,-6.11986,-0.774675,-6.58696,-0.788858,-0.019541,-0.919586,-6.61558,-0.934213,-7.07816,-2.94298,0.0209522,-13.2176,6.11989,-7.07816
4,46.8084,7.99995,779.499,-6.09782,-0.842254,-6.67524,-0.836044,-0.175013,-0.943989,-6.69968,-0.8877,-7.13697,-0.855706,0.0649465,-13.4098,6.10033,-7.13697
4.2,46.8084,7.99995,781.052,-6.1595,-0.834328,-6.658,-0.761454,-0.0727718,-0.917713,-6.62428,-0.864923,-7.06582,-2.0984,-0.0365563,-13.2981,6.15993,-7.06582
4.4,46.8084,7.99995,782.633,-6.05379,-0.80603,-6.64673,-0.821515,-0.0443081,-0.86897,-6.6245,-0.87638,-6.96216,-5.46162,-0.121457,-13.0603,6.05395,-6.96216
4.6,46.8085,7.99995,783.932,-6.18403,-0.816075,-6.64356,-0.845533,-0.141041,-0.889028,-6.66687,-0.863896,-7.2014,1.34354,-0.00522604,-13.5265,6.18564,-7.2014
4.8,46.8085,7.99995,785.009,-6.29145,-0.7993,-6.6522,-0.77885,-0.0177188,-0.891673,-6.6821,-0.892698,-6.99053,-3.30661,-0.0194188,-13.2997,6.29148,-6.99053
5,46.8085,7.99994,785.806,-6.27177,-0.801325,-6.65692,-0.838582,-0.115065,-0.923626,-6.6626,-0.903242,-7.02929,-0.48418,0.013047,-13.4161,6.27282,-7.02929
5.2,46.8086,7.99994,786.541,-6.29712,-0.78789,-6.60339,-0.778548,-0.124271,-0.72142,-6.60657,-0.672248,-7.1356,3.75781,0.0572039,-13.557,6.29835,-7.1356
5.4,46.8086,7.99994,787.201,-6.20977,-0.877022,-6.62556,-0.892563,-0.0429032,-0.850024,-6.66396,-0.794069,-6.95146,-3.7572,0.0115002,-13.2041,6.20992,-6.95146
5.6,46.8087,7.99994,787.786,-6.25768,-0.892343,-6.66986,-0.871893,-0.219489,-1.04663,-6.70357,-0.999616,-7.03005,0.744459,0.100588,-13.5072,6.26153,-7.03005
5.8,46.8087,7.99994,788.283,-6.30077,-0.792543,-6.61839,-0.881733,0.100312,-0.911766,-6.65205,-0.917106,-7.10612,-4.26322,0.150747,-13.3066,6.30157,-7.10612
6,46.8088,7.99994,788.718,-5.93468,-0.908851,-6.48459,-0.894293,-0.218829,-0.850848,-6.52113,-0.875139,-7.05268,1.70634,0.127919,-13.2062,5.93872,-7.05268
6.2,46.8088,7.99994,789.067,-6.27415,-0.785689,-6.59431,-0.784901,-0.164246,-0.855377,-6.65143,-0.818703,-7.14748,3.74052,-0.0675377,-13.5859,6.2763,-7.14748
6.4,46.8089,7.99994,789.35,-6.31507,-0.81564,-6.57676,-0.874025,-0.165165,-0.945851,-6.60046,-0.926872,-7.21308,5.57258,-0.0952293,-13.6933,6.31723,-7.21308
6.6,46.809,7.99993,789.557,-6.10826,-0.99,-6.49231,-1.03045,-0.0667376,-0.951195,-6.53202,-0.937932,-7.00056,-1.36819,0.141676,-13.1756,6.10862,-7.00056
6.8,46.809,7.99993,789.701,-6.15801,-0.903916,-6.62685,-0.903988,-0.179567,-0.844185,-6.58842,-0.830323,-7.19585,3.06286,0.0777953,-13.5334,6.16063,-7.19585
7,46.8091,7.99993,789.774,-6.25057,-0.867243,-6.56812,-0.886146,-0.238526,-0.995237,-6.60593,-0.976121,-6.99498,3.50703,-0.0147544,-13.4841,6.25512,-6.99498
7.2,46.8091,7.99993,789.775,-6.06876,-0.828714,-6.66093,-0.89335,-0.197266,-0.90399,-6.64806,-0.913351,-7.19142,0.820956,0.0455553,-13.4574,6.07196,-7.19142
7.4,46.8092,7.99993,789.716,-6.31577,-0.856501,-6.55299,-0.910671,-0.134927,-0.975511,-6.60651,-0.927652,-7.09142,3.23888,-0.0109523,-13.5421,6.31721,-7.09142
7.6,46.8093,7.99993,789.59,-6.11297,-0.815259,-6.50702,-0.820182,-0.0388029,-0.897877,-6.53259,-0.868486,-7.06752,-0.482418,0.0486953,-13.2193,6.11309,-7.06752
7.8,46.8094,7.99993,789.385,-6.16081,-0.868862,-6.66569,-0.888179,-0.14367,-0.850404,-6.6297,-0.855093,-7.04484,-0.782329,0.068957,-13.3493,6.16249,-7.04484
8,46.8094,7.99993,789.127,-6.14034,-0.959386,-6.60836,-0.991559,-0.0805244,-0.791131,-6.57481,-0.821065,-7.06101,-1.25906,0.342646,-13.2819,6.14086,-7.06101
8.2,46.8095,7.99993,788.837,-6.30675,-0.925658,-6.70648,-0.916493,-0.305882,-0.927297,-6.73779,-0.919003,-7.27281,6.26825,-0.0958371,-13.8854,6.31417,-7.27281
8.4,46.8096,7.99993,788.438,-6.09675,-0.809243,-6.52239,-0.844296,-0.0575965,-0.933109,-6.53145,-0.983549,-7.10982,-0.188562,0.0618713,-13.2642,6.09702,-7.10982
8.6,46.8097,7.99993,787.978,-6.101,-0.944246,-6.57012,-0.930347,-0.225488,-0.901499,-6.5873,-0.888015,-7.11064,2.80533,0.0721699,-13.4371,6.10516,-7.11064
8.8,46.8097,7.99992,787.454,-6.12765,-0.821104,-6.59237,-0.828794,-0.325996,-0.981236,-6.61324,-0.99085,-7.10329,5.18016,0.0725901,-13.5569,6.13632,-7.10329
9,46.8098,7.99992,786.87,-6.20444,-0.744631,-6.55227,-0.817463,-0.133342,-0.879047,-6.54786,-0.875913,-7.20317,4.39495,-0.0542045,-13.541,6.20588,-7.20317
9.2,46.8099,7.99992,786.231,-6.13243,-0.9019,-6.67451,-0.882501,-0.0655416,-0.861424,-6.71899,-0.884139,-6.96466,-5.66967,-0.074004,-13.1626,6.13278,-6.96466
9.4,46.81,7.99992,785.513,-6.11046,-0.866823,-6.54071,-0.841914,-0.0942954,-1.00421,-6.53313,-0.975747,-7.23337,2.03297,0.0677201,-13.4381,6.11119,-7.23337
