timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,true_acc_x,true_acc_y,true_acc_z,true_gyro_x,true_gyro_y,true_gyro_z,bias_acc_x,bias_acc_y,bias_acc_z,bias_gyro_x,bias_gyro_y,bias_gyro_z
0,0.0066574,0.296085,9.81178,0.000138079,0.0213023,0.0987259,-0.00364541,0.299962,9.8097,-3.27805e-05,0.0199822,0.0999982,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.1,0.0214949,0.280435,9.81895,0.00148021,0.0198224,0.0997218,0.0134019,0.285486,9.81716,0.000141016,0.0199563,0.0999481,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.2,0.0236036,0.28924,9.80369,0.00105383,0.0197839,0.0998304,0.0131094,0.294108,9.80155,0.000493857,0.0198853,0.0999422,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.3,0.0285473,0.297393,9.8194,0.00123381,0.0201532,0.100282,0.0196614,0.300636,9.81581,0.000363662,0.0199049,0.0999256,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.4,0.0267939,0.291731,9.82482,3.12281e-05,0.0199511,0.0990429,0.0164908,0.297547,9.82237,0.000703134,0.0199062,0.0999324,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.5,0.0379855,0.289878,9.81119,0.000489482,0.0180043,0.0994112,0.0279253,0.295141,9.80846,0.00100436,0.0200881,0.0999153,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.6,0.0475686,0.285705,9.82169,0.00259866,0.0214691,0.100326,0.0366773,0.289963,9.81895,0.00114005,0.0200177,0.0999739,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.7,0.0428873,0.290296,9.81677,0.00142595,0.0180748,0.0989949,0.0326476,0.29593,9.81485,0.00139197,0.0198691,0.0999648,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.8,0.0505524,0.290284,9.80364,0.00207547,0.0202245,0.100648,0.0385509,0.29495,9.8021,0.00157753,0.0198877,0.10016,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
0.9,0.0525018,0.287577,9.8203,0.00090802,0.0201338,0.101383,0.0421459,0.292958,9.81998,0.00160513,0.0197391,0.100052,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1,0.0593539,0.295356,9.81684,0.00103222,0.0191111,0.0998032,0.0476156,0.301249,9.81475,0.00211192,0.0197094,0.100017,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.1,0.0704641,0.291244,9.81592,0.00274963,0.0195802,0.0995378,0.0594492,0.296804,9.81491,0.00222248,0.0196062,0.0999985,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.2,0.0733134,0.288685,9.8079,0.00302211,0.0181081,0.100128,0.0618756,0.291703,9.80586,0.00235014,0.0195456,0.0999934,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.3,0.0779759,0.291061,9.82015,0.00287729,0.0193256,0.101053,0.0674919,0.296261,9.81771,0.00248081,0.0195737,0.100091,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.4,0.0776423,0.292741,9.81246,0.00281515,0.0193458,0.099002,0.0704117,0.296544,9.81245,0.00284666,0.0195684,0.0999261,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.5,0.0774744,0.288224,9.81761,0.00108909,0.0200089,0.102111,0.0667667,0.293092,9.81641,0.00295356,0.0194252,0.0999519,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.6,0.0881115,0.29388,9.8201,0.00324464,0.0181658,0.0990673,0.0782238,0.297461,9.81615,0.00321125,0.0193209,0.100019,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.7,0.0939517,0.28295,9.82636,0.00283164,0.0190704,0.0983946,0.0839926,0.28807,9.82366,0.00332343,0.0192465,0.0999486,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.8,0.102304,0.293635,9.82654,0.00389608,0.0195156,0.100058,0.0917915,0.297327,9.82381,0.00353879,0.019346,0.099907,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
1.9,0.104566,0.28786,9.81801,0.00504602,0.0215539,0.0995347,0.0943498,0.292471,9.81515,0.00385298,0.0192547,0.0999621,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2,0.112511,0.281755,9.82263,0.00442236,0.0185919,0.101819,0.10253,0.287942,9.8222,0.00384135,0.0192636,0.100001,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.1,0.109844,0.27575,9.8303,0.00349004,0.0180095,0.102695,0.0999205,0.279806,9.82836,0.00404596,0.0187202,0.100051,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.2,0.125681,0.287856,9.82824,0.00513486,0.0213268,0.0992144,0.115948,0.29146,9.82678,0.00420378,0.0190653,0.0998341,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.3,0.128642,0.291956,9.82811,0.00576147,0.0196343,0.0991513,0.118793,0.298243,9.82566,0.00434167,0.0188829,0.100266,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.4,0.128029,0.294869,9.82662,0.00418486,0.0196693,0.099798,0.118466,0.299524,9.82573,0.00483037,0.0186606,0.100042,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.5,0.137571,0.285192,9.82656,0.00364501,0.018561,0.0999611,0.128686,0.292067,9.82485,0.00476863,0.0187274,0.0999681,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.6,0.134382,0.280042,9.82569,0.00594666,0.0180232,0.0990885,0.124811,0.285619,9.82315,0.0048893,0.0183708,0.0999137,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.7,0.153158,0.281405,9.82867,0.00610567,0.0195693,0.09972,0.143347,0.286836,9.82651,0.00510944,0.018488,0.100042,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.8,0.14759,0.278668,9.82323,0.0073987,0.0175151,0.100553,0.137428,0.284836,9.82063,0.00532828,0.0181425,0.100083,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
2.9,0.15805,0.274397,9.82759,0.00303339,0.0152477,0.100778,0.146552,0.279164,9.82601,0.00542365,0.0182293,0.099911,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3,0.150338,0.272119,9.82203,0.00531706,0.0194959,0.0995775,0.141832,0.276894,9.82093,0.00570494,0.0179818,0.100091,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.1,0.169244,0.273016,9.82718,0.00575695,0.0185764,0.0994575,0.159101,0.278514,9.82569,0.00592045,0.0179433,0.099928,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.2,0.165483,0.279553,9.83157,0.00741978,0.0180525,0.100784,0.154628,0.28342,9.82998,0.00595817,0.01765,0.0998694,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.3,0.171367,0.276821,9.83653,0.00631316,0.0173875,0.100084,0.162175,0.28245,9.83379,0.00624222,0.017683,0.100099,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.4,0.172955,0.267673,9.82526,0.00618974,0.0160782,0.101116,0.163282,0.273261,9.82464,0.006175,0.0176056,0.100039,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.5,0.189203,0.278065,9.83252,0.00541768,0.0166017,0.0998484,0.17863,0.282419,9.83008,0.00657662,0.0174822,0.099967,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.6,0.18709,0.271003,9.82637,0.0062528,0.0162531,0.100587,0.176907,0.276562,9.82614,0.00661921,0.0170895,0.0998164,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.7,0.193628,0.27633,9.83386,0.00640009,0.0161764,0.100457,0.183441,0.281047,9.83378,0.00686235,0.0168687,0.100146,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.8,0.191045,0.275312,9.83589,0.00649276,0.0160166,0.101464,0.181935,0.278607,9.83284,0.00679323,0.0167381,0.100007,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
3.9,0.198789,0.270466,9.83836,0.00749878,0.0173985,0.101651,0.188234,0.276649,9.8363,0.00698798,0.0167149,0.0998622,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4,0.20131,0.269826,9.83863,0.00808648,0.0168939,0.0996849,0.190767,0.275407,9.83613,0.00726996,0.0164856,0.100005,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.1,0.206099,0.268543,9.83784,0.00797064,0.0153793,0.102479,0.19352,0.272287,9.83525,0.00744586,0.0164355,0.0999927,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.2,0.213892,0.264394,9.83141,0.00834253,0.0138428,0.099535,0.203861,0.270638,9.82962,0.00754278,0.0162148,0.100094,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.3,0.209364,0.264611,9.83063,0.00801888,0.0169619,0.10012,0.199503,0.269791,9.82744,0.00755262,0.0160252,0.100157,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.4,0.231455,0.261101,9.82866,0.00582742,0.0141133,0.0990899,0.220567,0.267579,9.82735,0.00770277,0.0159607,0.0998502,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.5,0.227413,0.269195,9.82837,0.00752149,0.0161022,0.0997484,0.217042,0.27344,9.82689,0.00800454,0.0156816,0.0999118,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.6,0.237279,0.259304,9.84257,0.00836017,0.0154085,0.101973,0.226346,0.264067,9.84137,0.00786596,0.0155499,0.099894,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.7,0.23636,0.246903,9.84129,0.00760565,0.0149516,0.100203,0.227383,0.250988,9.84076,0.00803127,0.0152503,0.0999831,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.8,0.241266,0.253083,9.83919,0.00855131,0.0139367,0.0992673,0.229726,0.25749,9.83806,0.00827423,0.0148983,0.0999221,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
4.9,0.245353,0.258631,9.83548,0.00969281,0.0151936,0.0998571,0.236086,0.262829,9.83259,0.00828019,0.0148693,0.10009,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5,0.248079,0.256876,9.83828,0.00723968,0.0139419,0.0993034,0.23888,0.261837,9.83659,0.00855303,0.0145287,0.100158,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.1,0.254346,0.259132,9.83633,0.00706488,0.0156816,0.101384,0.244642,0.265556,9.83463,0.0084495,0.0144833,0.10008,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.2,0.257159,0.259518,9.84061,0.0101197,0.0144101,0.101256,0.246477,0.262826,9.84057,0.00856484,0.0143818,0.100065,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.3,0.259946,0.255083,9.83448,0.00806276,0.0118649,0.0980617,0.25104,0.260211,9.83294,0.00866536,0.0140258,0.0999582,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.4,0.266843,0.246331,9.83971,0.00827389,0.0138298,0.0989906,0.256722,0.251246,9.83797,0.00887104,0.0137243,0.0998878,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.5,0.278826,0.2432,9.83901,0.00781168,0.0122676,0.0981875,0.267505,0.24849,9.83745,0.00897667,0.0134794,0.0999412,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.6,0.278356,0.249219,9.84083,0.00952325,0.0134947,0.100193,0.268541,0.254369,9.83999,0.00902663,0.0133317,0.0999183,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.7,0.286367,0.249354,9.84128,0.0117304,0.0130653,0.100074,0.276755,0.253651,9.83976,0.00917991,0.0131449,0.0998884,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.8,0.281166,0.249932,9.84824,0.0092384,0.0142572,0.100747,0.271812,0.253577,9.84501,0.00899924,0.0129301,0.0999868,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
5.9,0.284594,0.253321,9.83651,0.0111086,0.013866,0.0999772,0.274804,0.258375,9.83498,0.00934518,0.0126962,0.100101,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6,0.295212,0.242513,9.84646,0.0101729,0.0145028,0.101264,0.286186,0.247186,9.84387,0.00936582,0.0126045,0.100092,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.1,0.302364,0.242057,9.8431,0.00980906,0.0119069,0.100729,0.29085,0.24754,9.84092,0.00933183,0.0120697,0.100087,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.2,0.300039,0.23593,9.8458,0.00869952,0.0115554,0.100041,0.289793,0.241379,9.84489,0.00950734,0.0118845,0.0998817,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.3,0.301897,0.238703,9.83792,0.00778697,0.0111481,0.101668,0.290543,0.243641,9.83685,0.00946438,0.0116471,0.0999108,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.4,0.312378,0.239103,9.83863,0.00957842,0.0105437,0.0999589,0.30233,0.244739,9.8364,0.00967428,0.0113786,0.0999133,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.5,0.314835,0.226965,9.83596,0.00916121,0.0106696,0.100998,0.305111,0.230745,9.83381,0.00960404,0.0113452,0.100171,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.6,0.327763,0.224206,9.85268,0.0102288,0.0104881,0.0998006,0.316728,0.228919,9.85131,0.00973898,0.0109635,0.100013,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.7,0.3092,0.230856,9.84399,0.0102416,0.0100614,0.0988065,0.298738,0.235885,9.84276,0.00953103,0.01058,0.100116,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.8,0.331221,0.224941,9.85013,0.00861223,0.0105972,0.0997295,0.322331,0.229456,9.84772,0.00975085,0.0105871,0.100102,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
6.9,0.328257,0.224121,9.84742,0.0109355,0.0107136,0.0998298,0.317482,0.229471,9.84504,0.00976585,0.010182,0.100049,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7,0.337782,0.218901,9.85002,0.0115973,0.00804377,0.102208,0.329513,0.225303,9.84855,0.00987026,0.00989372,0.0999263,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.1,0.330354,0.225201,9.84957,0.00954539,0.00959434,0.0994223,0.320899,0.229959,9.84731,0.00960437,0.00963919,0.0998135,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.2,0.339443,0.218169,9.84638,0.0123145,0.00895316,0.10173,0.329333,0.223517,9.84472,0.00984092,0.00933138,0.100187,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.3,0.343965,0.215052,9.85178,0.00941903,0.009382,0.101782,0.335667,0.219831,9.85147,0.0100389,0.00922894,0.099995,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.4,0.347213,0.217078,9.83854,0.011304,0.00765434,0.0994172,0.335719,0.219368,9.83711,0.00997476,0.00913695,0.0998899,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.5,0.353272,0.212785,9.84955,0.0103073,0.0076999,0.0989816,0.342973,0.21741,9.84873,0.0100772,0.00851264,0.0999965,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.6,0.347248,0.212466,9.85554,0.00899294,0.00780032,0.101015,0.337744,0.217872,9.85347,0.00987613,0.00826777,0.100217,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.7,0.358281,0.205865,9.85054,0.010304,0.00985421,0.0991581,0.348009,0.210035,9.84911,0.0101021,0.00797404,0.100024,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.8,0.365484,0.209916,9.85189,0.00893355,0.00688234,0.0995663,0.354591,0.21427,9.8505,0.00998311,0.00773915,0.10021,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
7.9,0.375311,0.200894,9.85347,0.009152,0.00668744,0.100339,0.364169,0.206047,9.85141,0.010171,0.00743317,0.10004,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8,0.367618,0.205234,9.85519,0.0105864,0.00542943,0.0998009,0.35813,0.209272,9.85242,0.0100297,0.0071449,0.100233,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.1,0.372618,0.18455,9.84581,0.0104433,0.00624717,0.100434,0.362392,0.190833,9.84437,0.00981538,0.00691992,0.0998297,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.2,0.36895,0.207326,9.84645,0.00985959,0.0074196,0.101245,0.359585,0.212498,9.84455,0.0101449,0.00663669,0.0999497,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.3,0.370648,0.199053,9.85304,0.0105836,0.00550759,0.0998401,0.358397,0.203564,9.85155,0.0100128,0.00632836,0.100113,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.4,0.389255,0.199607,9.85452,0.0107612,0.0065708,0.101104,0.379491,0.204304,9.85242,0.010056,0.00600451,0.100157,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.5,0.385622,0.192382,9.85158,0.0106028,0.00665659,0.100356,0.37512,0.197875,9.85025,0.0100633,0.00584903,0.100128,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.6,0.387327,0.185314,9.84912,0.0109463,0.00573787,0.0985234,0.377919,0.189441,9.84764,0.00983585,0.00538365,0.100177,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.7,0.3995,0.181751,9.85444,0.0101461,0.00543807,0.0988217,0.38973,0.18762,9.85352,0.00967235,0.00523487,0.0998554,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.8,0.390301,0.190507,9.85438,0.0110843,0.00560713,0.100311,0.380622,0.196283,9.85264,0.00975037,0.00498275,0.0999444,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
8.9,0.397967,0.180162,9.85259,0.00946986,0.00485445,0.10031,0.388035,0.185705,9.84951,0.00979159,0.00472137,0.0999421,0.01,-0.005,0.002,0.0001,-0.0002,0.00015
