timestamp,est_pos_x,est_pos_y,est_pos_z,est_vel_x,est_vel_y,est_vel_z,est_q_w,est_q_x,est_q_y,est_q_z,true_pos_x,true_pos_y,true_pos_z,true_vel_x,true_vel_y,true_vel_z,true_q_w,true_q_x,true_q_y,true_q_z,pos_error,vel_error,att_error
0.09,4.31866e+06,606948,4.64542e+06,9.33924,-0.0631214,0.265232,0.999987,-0.000412838,0.000845106,0.00499547,4.31866e+06,606951,4.64542e+06,2.15304,34.8648,7.1597,1,0,0,0,3.29082,36.3199,0.0101665
0.19,4.31866e+06,606948,4.64542e+06,8.68846,-0.125324,0.540083,0.999948,-0.000393167,0.0018323,0.010005,4.31866e+06,606954,4.64542e+06,2.3334,34.8889,6.98809,1,0,0,0,6.90004,36.1657,0.0203584
0.29,4.31866e+06,606947,4.64542e+06,7.93237,-0.202695,0.698839,0.999883,-0.000368589,0.00281572,0.0150359,4.31866e+06,606958,4.64542e+06,2.51318,34.9121,6.81575,1,0,0,0,10.5496,36.0532,0.0306046
0.39,4.31866e+06,606947,4.64542e+06,7.40695,-0.247971,1.10423,0.999793,-0.000338522,0.00381939,0.0199917,4.31866e+06,606961,4.64542e+06,2.6924,34.9344,6.64269,1,0,0,0,14.1066,35.9263,0.040715
0.49,4.31866e+06,606948,4.64542e+06,7.14995,-0.255224,1.79606,0.99968,-0.00030294,0.00480633,0.0248412,4.31866e+06,606965,4.64542e+06,2.87104,34.9557,6.46892,1,0,0,0,17.6263,35.7764,0.0506128
0.59,4.31866e+06,606947,4.64542e+06,6.57776,-0.307213,2.14596,0.999539,-0.000269817,0.0057994,0.0297974,4.31866e+06,606968,4.64543e+06,3.04911,34.9761,6.29444,1,0,0,0,21.1779,35.7011,0.0607248
0.69,4.31866e+06,606947,4.64542e+06,6.13703,-0.341115,2.63483,0.999375,-0.000200875,0.00679809,0.0347005,4.31866e+06,606972,4.64543e+06,3.22659,34.9955,6.11925,1,0,0,0,24.7105,35.6271,0.0707361
0.79,4.31866e+06,606947,4.64542e+06,5.5576,-0.394821,2.97222,0.999183,-0.000145847,0.00780944,0.0396478,4.31866e+06,606975,4.64543e+06,3.40349,35.014,5.94336,1,0,0,0,28.2445,35.5985,0.0808418
0.89,4.31866e+06,606947,4.64542e+06,5.16433,-0.422489,3.50724,0.998974,-2.85449e-05,0.00879695,0.0444308,4.31866e+06,606979,4.64543e+06,3.5798,35.0315,5.76678,1,0,0,0,31.758,35.5613,0.0906176
0.99,4.31866e+06,606947,4.64542e+06,4.54239,-0.48234,3.79478,0.99873,4.91274e-05,0.00978294,0.0494281,4.31866e+06,606982,4.64543e+06,3.75551,35.0481,5.58951,1,0,0,0,35.28,35.5845,0.100817
1.09,4.31866e+06,606947,4.64543e+06,4.29634,-0.479439,4.46956,0.998385,-0.000427702,0.0114322,0.0556457,4.31866e+06,606986,4.64543e+06,3.93063,35.0638,5.41155,1,0,0,0,38.766,35.5576,0.11368
1.19,4.31867e+06,606947,4.64543e+06,3.80723,-0.520411,4.89351,0.998095,-0.000317928,0.0124119,0.0604405,4.31866e+06,606989,4.64543e+06,4.10514,35.0785,5.23291,1,0,0,0,42.2684,35.6017,0.123484
