time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,true_pos_x,true_pos_y,true_pos_z,pos_error,vel_error
0,4.31866e+06,606948,4.64542e+06,9.93382,-0.00639379,0.0256297,1,6.90393e-07,0.000106511,0.00049363,4.31866e+06,606947,4.64542e+06,0.230886,36.4779
0.1,4.31866e+06,606948,4.64542e+06,9.27333,-0.0695682,0.29191,0.999984,-0.000405411,0.000945762,0.00549309,4.31866e+06,606951,4.64542e+06,3.59766,36.3036
0.2,4.31866e+06,606948,4.64542e+06,8.62252,-0.131685,0.566434,0.999943,-0.000388567,0.00193312,0.0105018,4.31866e+06,606954,4.64542e+06,7.2339,36.1518
0.3,4.31866e+06,606947,4.64542e+06,7.8664,-0.208971,0.725184,0.999875,-0.000364233,0.00291852,0.0155326,4.31866e+06,606958,4.64542e+06,10.8562,36.0417
0.4,4.31866e+06,606947,4.64542e+06,7.34027,-0.254358,1.12989,0.999783,-0.000341581,0.00391984,0.0204809,4.31866e+06,606961,4.64542e+06,14.4655,35.9171
0.5,4.31866e+06,606947,4.64542e+06,7.08179,-0.261807,1.81995,0.999667,-0.000305481,0.00489573,0.0253317,4.31866e+06,606965,4.64542e+06,17.9844,35.7694
0.6,4.31866e+06,606947,4.64542e+06,6.50947,-0.313823,2.16992,0.999524,-0.000265682,0.00590471,0.0302914,4.31866e+06,606968,4.64543e+06,21.5358,35.6965
0.7,4.31866e+06,606947,4.64542e+06,6.06775,-0.347761,2.65811,0.999357,-0.000207862,0.00688326,0.0351854,4.31866e+06,606972,4.64543e+06,25.067,35.6246
0.8,4.31866e+06,606947,4.64542e+06,5.48811,-0.401415,2.99565,0.999163,-0.000158011,0.00790196,0.0401387,4.31866e+06,606975,4.64543e+06,28.5808,35.5983
0.9,4.31866e+06,606947,4.64542e+06,5.095,-0.428982,3.53183,0.998951,-5.9613e-05,0.00888389,0.0449219,4.31866e+06,606979,4.64543e+06,32.1202,35.563
1,4.31866e+06,606947,4.64542e+06,4.47284,-0.488653,3.82009,0.998705,9.92565e-07,0.00986141,0.049907,4.31866e+06,606982,4.64543e+06,35.6975,35.5884
1.1,4.31866e+06,606947,4.64542e+06,4.00758,-0.51617,4.26046,0.998343,-0.000490929,0.0115112,0.0563725,4.31866e+06,606986,4.64543e+06,39.2577,35.5995
1.2,4.31866e+06,606947,4.64543e+06,3.56492,-0.550277,4.736,0.998053,-0.000403778,0.0124849,0.0611003,4.31866e+06,606989,4.64543e+06,42.8034,35.6377
1.3,4.31867e+06,606947,4.64543e+06,3.37688,-0.548858,5.48336,0.997769,-0.000317642,0.0134599,0.0653927,4.31866e+06,606993,4.64543e+06,46.3017,35.6571
1.4,4.31867e+06,606947,4.64543e+06,3.06075,-0.565426,6.09069,0.997457,-0.000206012,0.0144262,0.0697917,4.31866e+06,606996,4.64543e+06,49.6039,35.7208
1.5,4.31867e+06,606947,4.64543e+06,2.75342,-0.58113,6.70569,0.997132,-9.64287e-05,0.0153822,0.0740978,4.31866e+06,607000,4.64543e+06,53.0941,35.8067
1.6,4.31867e+06,606947,4.64543e+06,2.36967,-0.607842,7.23651,0.996782,3.77714e-05,0.0163539,0.0784688,4.31866e+06,607003,4.64543e+06,56.5921,35.925
1.7,4.31867e+06,606947,4.64543e+06,1.90612,-0.645866,7.67944,0.996402,0.00015807,0.0173582,0.0829519,4.31866e+06,607007,4.64543e+06,60.1,36.0744
1.8,4.31867e+06,606947,4.64543e+06,1.57311,-0.666091,8.25989,0.996044,0.000328548,0.0183616,0.0869425,4.31866e+06,607011,4.64543e+06,63.9803,36.2288
1.9,4.31867e+06,606947,4.64543e+06,1.20999,-0.690719,8.80582,0.99567,0.000465968,0.0193589,0.0909194,4.31866e+06,607014,4.64543e+06,67.4605,36.4078
2,4.31867e+06,606947,4.64543e+06,0.792539,-0.723529,9.29086,0.995271,0.000611343,0.0203177,0.0949858,4.31866e+06,607018,4.64543e+06,71.0152,36.613
2.1,4.31867e+06,606947,4.64543e+06,0.293615,-0.792337,9.68425,0.994119,0.00139817,0.0215021,0.106132,4.31866e+06,607021,4.64543e+06,74.6059,36.8693
2.2,4.31867e+06,606946,4.64543e+06,-0.269782,-0.846296,10.0092,0.99359,0.0015562,0.0225088,0.110767,4.31866e+06,607025,4.64543e+06,78.205,37.1279
2.3,4.31867e+06,606947,4.64544e+06,-0.792348,-0.894916,10.3754,0.993075,0.00172737,0.0234656,0.115098,4.31867e+06,607028,4.64543e+06,81.3759,37.4005
2.4,4.31867e+06,606947,4.64544e+06,-1.3311,-0.94552,10.7219,0.992534,0.00190184,0.0244454,0.119477,4.31867e+06,607032,4.64543e+06,84.9706,37.6921
2.5,4.31867e+06,606947,4.64544e+06,-1.86535,-0.99648,11.0709,0.991984,0.00207797,0.0254088,0.123762,4.31867e+06,607035,4.64543e+06,88.5831,38.0012
2.6,4.31867e+06,606946,4.64544e+06,-2.44349,-1.05331,11.3712,0.991371,0.00225228,0.0263553,0.128391,4.31867e+06,607039,4.64543e+06,92.8025,38.3319
2.7,4.31867e+06,606946,4.64544e+06,-2.93418,-1.09942,11.7616,0.990872,0.00242424,0.0272908,0.131992,4.31867e+06,607042,4.64543e+06,96.5255,38.6691
2.8,4.31867e+06,606946,4.64544e+06,-3.438,-1.14767,12.1351,0.990355,0.00263208,0.0282188,0.135625,4.31867e+06,607046,4.64544e+06,100.313,39.0232
2.9,4.31867e+06,606945,4.64544e+06,-4.04092,-1.20788,12.4032,0.989643,0.0028246,0.0291542,0.140533,4.31867e+06,607049,4.64544e+06,104.126,39.4037
3,4.31867e+06,606945,4.64544e+06,-4.52329,-1.2549,12.7945,0.98918,0.00305513,0.0300965,0.143554,4.31867e+06,607053,4.64544e+06,107.968,39.7856
3.1,4.31867e+06,606946,4.64545e+06,-5.14354,-1.30685,13.0473,0.988668,0.00306428,0.0308593,0.146879,4.31867e+06,607056,4.64544e+06,110.718,40.1895
3.2,4.31867e+06,606946,4.64545e+06,-5.63265,-1.3558,13.4267,0.988224,0.00334514,0.0317897,0.149637,4.31867e+06,607060,4.64544e+06,114.5,40.6002
3.3,4.31867e+06,606946,4.64545e+06,-6.09984,-1.404,13.8248,0.987874,0.00364803,0.032724,0.151727,4.31867e+06,607063,4.64544e+06,118.312,41.0218
3.4,4.31866e+06,606944,4.64545e+06,-6.59138,-1.45582,14.195,0.987465,0.00395202,0.0336479,0.154161,4.31867e+06,607067,4.64544e+06,123.715,41.459
3.5,4.31866e+06,606944,4.64545e+06,-7.09918,-1.50971,14.5459,0.987013,0.00427875,0.0345708,0.156815,4.31867e+06,607070,4.64544e+06,127.708,41.9099
3.6,4.31866e+06,606944,4.64545e+06,-7.64426,-1.56717,14.857,0.986407,0.00457939,0.0354753,0.16038,4.31867e+06,607074,4.64544e+06,131.789,42.3764
3.7,4.31866e+06,606943,4.64545e+06,-8.17398,-1.62422,15.1796,0.985875,0.00486273,0.0363739,0.163411,4.31868e+06,607077,4.64544e+06,135.925,42.8521
3.8,4.31866e+06,606943,4.64546e+06,-8.65092,-1.68047,15.5494,0.985643,0.00525701,0.0372508,0.164599,4.31868e+06,607081,4.64544e+06,140.123,43.3338
3.9,4.31866e+06,606945,4.64546e+06,-9.18179,-1.73923,15.8634,0.985102,0.00559934,0.0381813,0.167588,4.31868e+06,607084,4.64544e+06,141.911,43.8298
4,4.31866e+06,606945,4.64546e+06,-9.65809,-1.79909,16.2259,0.98495,0.00601726,0.0390516,0.168262,4.31868e+06,607088,4.64544e+06,145.981,44.3319
4.1,4.31866e+06,606945,4.64547e+06,-10.1803,-1.86069,16.5357,0.984381,0.00643089,0.040012,0.171325,4.31868e+06,607091,4.64544e+06,150.088,44.8446
4.2,4.31866e+06,606941,4.64546e+06,-10.6511,-1.92541,16.8958,0.984352,0.00693324,0.0408487,0.171274,4.31868e+06,607095,4.64544e+06,157.48,45.3659
4.3,4.31866e+06,606941,4.64546e+06,-11.1378,-1.99194,17.2378,0.984224,0.00740893,0.041709,0.17178,4.31868e+06,607098,4.64544e+06,161.885,45.8972
4.4,4.31865e+06,606940,4.64547e+06,-11.6294,-2.06052,17.5721,0.984083,0.00793795,0.0425626,0.172355,4.31868e+06,607102,4.64544e+06,166.316,46.4374
4.5,4.31865e+06,606940,4.64547e+06,-12.1977,-2.12202,17.8356,0.983166,0.00825611,0.0434309,0.177286,4.31868e+06,607105,4.64544e+06,170.767,46.9868
4.6,4.31865e+06,606940,4.64547e+06,-12.664,-2.19855,18.185,0.983355,0.0088629,0.0442303,0.176008,4.31868e+06,607109,4.64544e+06,175.295,47.5432
4.7,4.31866e+06,606944,4.64548e+06,-13.1723,-2.27101,18.4954,0.983086,0.0093919,0.0450262,0.177272,4.31868e+06,607112,4.64544e+06,175.68,48.1072
4.8,4.31866e+06,606943,4.64548e+06,-13.7343,-2.33383,18.7585,0.982146,0.00979354,0.0458493,0.182186,4.31869e+06,607116,4.64544e+06,180.095,48.6772
4.9,4.31865e+06,606943,4.64548e+06,-14.2944,-2.39655,19.0214,0.98118,0.0101966,0.0466836,0.187089,4.31869e+06,607119,4.64544e+06,184.56,49.2532
5,4.31865e+06,606938,4.64548e+06,-14.8526,-2.45914,19.2842,0.980193,0.0105934,0.0475065,0.19197,4.31869e+06,607123,4.64544e+06,193.609,49.8351
5.1,4.31864e+06,606938,4.64548e+06,-15.4013,-2.52029,19.5443,0.979162,0.0110059,0.0484419,0.196912,4.31869e+06,607126,4.64544e+06,198.253,50.4165
5.2,4.31864e+06,606938,4.64548e+06,-15.9556,-2.58245,19.8067,0.978118,0.0114107,0.0492387,0.201818,4.31869e+06,607130,4.64543e+06,203.008,51.0088
5.3,4.31864e+06,606937,4.64548e+06,-16.508,-2.64443,20.069,0.977055,0.0118225,0.0500411,0.206689,4.31869e+06,607133,4.64543e+06,207.805,51.6059
5.4,4.31864e+06,606937,4.64548e+06,-17.0586,-2.70616,20.331,0.97597,0.0122066,0.0508196,0.211543,4.31869e+06,607137,4.64543e+06,212.647,52.2077
5.5,4.31865e+06,606942,4.64549e+06,-17.6075,-2.76764,20.5929,0.974861,0.0125962,0.0515962,0.216392,4.31869e+06,607140,4.64543e+06,212.415,52.8139
5.6,4.31864e+06,606941,4.64549e+06,-18.1546,-2.82888,20.8547,0.97372,0.0129915,0.0523611,0.221266,4.31869e+06,607144,4.64543e+06,217.241,53.4242
5.7,4.31864e+06,606941,4.6455e+06,-18.6999,-2.88984,21.1163,0.972557,0.0134126,0.0531081,0.226126,4.31869e+06,607147,4.64543e+06,222.126,54.0384
5.8,4.31864e+06,606941,4.6455e+06,-19.2436,-2.95056,21.3777,0.971368,0.0138275,0.0538773,0.230978,4.3187e+06,607151,4.64543e+06,227.063,54.6562
